Fecha;Tipo de Empleado;Departamento;Razon de Salida;Estado de Dedicacion;Nivel de Educacion;Ubicacion;Nivel de Antiguedad;Edad;Años en la Empresa;Salario Anual (USD);Horas Trabajadas por Semana;Tasa de Rotacion (%);Evaluacion de Desempeño (0-5);Tiempo de Capacitacion (horas)
23/1/2024;UI/UX Designer;Consultoria;Cambio de Sector;Promedio;Otros;Sucursal 1;Lider;55;5;108056;36;8,5451;1,93;94
24/1/2024;Gerente de Proyecto;Soporte;Cambio de Sector;Alto;Otros;Remoto;Director;33;7;114663;48;3,4275;1,25;171
25/1/2024;Ingeniero de Software;Recursos Humanos;Renuncia;Promedio;Otros;Sucursal 1;Senior;50;5;38934;39;5,5732;1,81;31
26/1/2024;Gerente de Proyecto;Soporte;Renuncia;Alto;Doctorado;Sucursal 1;Semi Senior;24;8;116796;49;7,9288;4,76;34
27/1/2024;Tester;Marketing;Condiciones Laborales;Bajo;Doctorado;Sucursal 1;Semi Senior;64;6;78678;47;8,4172;2,99;115
28/1/2024;Analista de Datos;Operaciones;Cambio de Sector;Alto;Otros;Sucursal 1;Lider;46;6;100230;37;8,8309;1,87;38
29/1/2024;Analista de Datos;Marketing;Condiciones Laborales;Promedio;Licenciatura;Oficina Principal;Lider;44;3;105547;48;6,6997;3,07;150
30/1/2024;UI/UX Designer;Marketing;Despido;Bajo;Doctorado;Remoto;Director;26;2;35944;48;7,5059;4,36;24
31/1/2024;Product Owner;Operaciones;Falta de Oportunidades;Promedio;Master;Sucursal 1;Semi Senior;36;2;112046;42;7,2607;4,66;35
1/2/2024;Analista de Datos;Soporte;Cambio de Sector;Bajo;Master;Sucursal 1;Lider;46;4;111212;38;4,9044;1,07;174
2/2/2024;Product Owner;Desarrollo;Falta de Oportunidades;Bajo;Master;Remoto;Semi Senior;52;3;61741;43;6,9173;4,33;147
3/2/2024;Analista de Datos;Recursos Humanos;Jubilacion;Bajo;Otros;Oficina Principal;Semi Senior;65;9;105292;36;1,4955;4,03;86
4/2/2024;Tester;Soporte;Renuncia;Promedio;Master;Oficina Principal;Director;60;8;27464;42;8,6586;2,07;97
5/2/2024;UI/UX Designer;Operaciones;Falta de Oportunidades;Bajo;Licenciatura;Remoto;Lider;57;1;46442;40;8,3999;2,71;31
6/2/2024;Product Owner;Ventas;Condiciones Laborales;Bajo;Master;Remoto;Director;54;8;78325;43;1,6183;3,32;104
7/2/2024;Desarrollador;Ventas;Despido;Bajo;Doctorado;Remoto;Lider;63;2;117746;42;9,0801;3,30;50
8/2/2024;Tester;Consultoria;Jubilacion;Promedio;Tecnico;Oficina Principal;Lider;65;5;66695;39;2,6612;1,53;141
9/2/2024;Tester;Desarrollo;Despido;Promedio;Master;Sucursal 1;Semi Senior;50;9;104702;48;9,9826;1,10;182
10/2/2024;Tester;Marketing;Cambio de Sector;Promedio;Master;Oficina Principal;Lider;62;3;75263;41;8,4820;1,23;22
11/2/2024;Gerente de Proyecto;Consultoria;Cambio de Sector;Bajo;Licenciatura;Remoto;Senior;47;3;57695;45;8,3078;1,74;111
12/2/2024;Product Owner;Ventas;Cambio de Sector;Alto;Master;Remoto;Lider;47;5;34360;40;6,9020;4,14;159
13/2/2024;UI/UX Designer;Recursos Humanos;Cambio de Sector;Alto;Tecnico;Sucursal 1;Director;28;4;89412;35;6,8911;2,16;146
14/2/2024;UI/UX Designer;Soporte;Despido;Bajo;Licenciatura;Remoto;Director;42;9;77898;40;2,5808;4,99;65
15/2/2024;Gerente de Proyecto;Consultoria;Condiciones Laborales;Alto;Master;Sucursal 1;Director;37;3;42267;41;5,0033;2,12;109
16/2/2024;Desarrollador;Consultoria;Cambio de Sector;Alto;Otros;Sucursal 1;Director;38;2;90142;45;1,1463;2,65;184
17/2/2024;Analista de Datos;Operaciones;Jubilacion;Bajo;Master;Sucursal 1;Lider;65;1;91150;38;1,3853;1,96;136
18/2/2024;Ingeniero de Software;Recursos Humanos;Cambio de Sector;Promedio;Master;Sucursal 1;Director;54;9;110413;43;5,7980;4,36;108
19/2/2024;Product Owner;Ventas;Jubilacion;Bajo;Master;Remoto;Senior;65;3;49965;46;2,8155;1,96;69
20/2/2024;Tester;Operaciones;Jubilacion;Bajo;Master;Sucursal 1;Junior;65;7;37648;36;4,5078;1,70;134
21/2/2024;Gerente de Proyecto;Recursos Humanos;Renuncia;Promedio;Master;Sucursal 1;Junior;45;6;59268;37;1,9624;4,26;107
22/2/2024;Tester;Desarrollo;Cambio de Sector;Alto;Tecnico;Oficina Principal;Lider;52;4;39282;46;8,3819;3,82;48
23/2/2024;Analista de Datos;Operaciones;Jubilacion;Bajo;Licenciatura;Oficina Principal;Lider;65;2;83156;48;5,3698;3,93;132
24/2/2024;Ingeniero de Software;Ventas;Despido;Alto;Otros;Remoto;Semi Senior;36;4;50852;47;8,3607;4,48;113
25/2/2024;Analista de Datos;Marketing;Condiciones Laborales;Promedio;Tecnico;Sucursal 1;Director;42;1;113871;48;6,0457;2,42;43
26/2/2024;UI/UX Designer;Consultoria;Renuncia;Alto;Master;Oficina Principal;Director;53;3;86080;44;7,2482;3,41;197
27/2/2024;Desarrollador;Consultoria;Condiciones Laborales;Bajo;Otros;Sucursal 1;Lider;49;2;102953;46;8,6918;3,76;46
28/2/2024;Tester;Recursos Humanos;Falta de Oportunidades;Alto;Master;Remoto;Director;25;7;38696;44;2,5109;1,97;159
29/2/2024;Analista de Datos;Marketing;Renuncia;Bajo;Master;Remoto;Lider;46;8;40540;48;4,9145;2,75;104
1/3/2024;UI/UX Designer;Soporte;Condiciones Laborales;Alto;Tecnico;Remoto;Director;58;9;78741;38;5,3201;1,94;129
2/3/2024;Gerente de Proyecto;Soporte;Condiciones Laborales;Promedio;Tecnico;Oficina Principal;Senior;25;5;62089;41;8,5286;1,26;37
3/3/2024;Product Owner;Marketing;Condiciones Laborales;Promedio;Licenciatura;Remoto;Director;26;8;55073;47;3,4129;1,25;190
4/3/2024;Tester;Desarrollo;Despido;Bajo;Master;Remoto;Senior;34;4;117503;42;8,0005;2,98;108
5/3/2024;UI/UX Designer;Ventas;Cambio de Sector;Promedio;Master;Sucursal 1;Junior;64;5;33038;49;5,0297;1,94;64
6/3/2024;Analista de Datos;Soporte;Cambio de Sector;Alto;Doctorado;Oficina Principal;Director;53;1;117434;40;4,8964;3,99;107
7/3/2024;Desarrollador;Consultoria;Jubilacion;Bajo;Doctorado;Sucursal 1;Director;65;2;39869;38;6,5519;1,04;119
8/3/2024;Product Owner;Soporte;Jubilacion;Alto;Licenciatura;Remoto;Lider;65;6;86931;43;1,8517;2,30;58
9/3/2024;Analista de Datos;Consultoria;Renuncia;Bajo;Licenciatura;Oficina Principal;Lider;42;9;46436;45;6,6964;1,68;153
10/3/2024;Tester;Recursos Humanos;Renuncia;Alto;Master;Oficina Principal;Lider;34;8;30576;39;9,1781;2,68;60
11/3/2024;Analista de Datos;Desarrollo;Jubilacion;Bajo;Licenciatura;Remoto;Director;65;9;76756;40;4,6216;1,85;118
12/3/2024;Product Owner;Soporte;Despido;Bajo;Master;Remoto;Semi Senior;63;8;98049;49;5,5281;2,52;22
13/3/2024;Product Owner;Operaciones;Renuncia;Promedio;Doctorado;Sucursal 1;Senior;43;6;112274;42;8,7715;4,13;33
14/3/2024;Ingeniero de Software;Desarrollo;Despido;Bajo;Otros;Sucursal 1;Junior;54;9;78149;47;9,7126;1,61;162
15/3/2024;Analista de Datos;Ventas;Falta de Oportunidades;Bajo;Doctorado;Remoto;Junior;30;4;53832;48;1,0010;4,22;128
16/3/2024;Desarrollador;Operaciones;Despido;Alto;Master;Sucursal 1;Director;34;1;103037;38;8,4775;4,82;177
17/3/2024;Tester;Marketing;Jubilacion;Promedio;Licenciatura;Remoto;Senior;65;2;104045;37;4,8289;1,47;69
18/3/2024;Ingeniero de Software;Marketing;Despido;Bajo;Otros;Oficina Principal;Junior;37;2;76386;41;1,6386;2,25;26
19/3/2024;Ingeniero de Software;Marketing;Renuncia;Bajo;Licenciatura;Oficina Principal;Junior;47;1;117412;37;8,1915;2,88;99
20/3/2024;Desarrollador;Operaciones;Despido;Promedio;Tecnico;Remoto;Director;26;6;29021;47;3,0820;2,48;23
21/3/2024;Analista de Datos;Recursos Humanos;Falta de Oportunidades;Bajo;Tecnico;Sucursal 1;Senior;30;2;48104;46;4,9248;4,98;116
22/3/2024;Tester;Desarrollo;Jubilacion;Promedio;Doctorado;Sucursal 1;Senior;65;6;97350;48;7,2258;2,31;178
23/3/2024;Analista de Datos;Operaciones;Cambio de Sector;Bajo;Master;Remoto;Senior;50;5;30502;46;1,8165;2,65;133
24/3/2024;UI/UX Designer;Recursos Humanos;Falta de Oportunidades;Promedio;Tecnico;Sucursal 1;Director;62;3;67691;38;3,9823;3,51;165
25/3/2024;UI/UX Designer;Consultoria;Renuncia;Alto;Tecnico;Remoto;Director;65;6;39752;44;9,6469;3,61;187
26/3/2024;Ingeniero de Software;Soporte;Jubilacion;Alto;Doctorado;Sucursal 1;Semi Senior;65;1;67155;39;6,4870;4,70;51
27/3/2024;Product Owner;Soporte;Renuncia;Promedio;Master;Remoto;Junior;52;4;109190;35;4,7713;3,88;159
28/3/2024;Tester;Soporte;Renuncia;Alto;Otros;Sucursal 1;Senior;53;2;56368;36;3,9036;4,39;148
29/3/2024;Tester;Recursos Humanos;Condiciones Laborales;Promedio;Licenciatura;Remoto;Junior;53;9;105543;39;9,6636;4,85;43
30/3/2024;UI/UX Designer;Desarrollo;Condiciones Laborales;Bajo;Licenciatura;Remoto;Junior;35;6;61859;46;7,7024;2,31;171
31/3/2024;Ingeniero de Software;Marketing;Falta de Oportunidades;Alto;Master;Sucursal 1;Lider;29;6;68128;41;1,5482;1,85;86
1/4/2024;Ingeniero de Software;Soporte;Renuncia;Bajo;Licenciatura;Oficina Principal;Senior;53;3;95403;37;7,6227;1,38;183
2/4/2024;UI/UX Designer;Ventas;Cambio de Sector;Bajo;Otros;Oficina Principal;Junior;28;9;89982;48;7,0402;1,78;162
3/4/2024;Product Owner;Recursos Humanos;Despido;Alto;Tecnico;Oficina Principal;Semi Senior;62;6;65144;37;8,5761;3,47;196
4/4/2024;Analista de Datos;Desarrollo;Jubilacion;Promedio;Tecnico;Oficina Principal;Director;65;1;108950;45;5,0925;4,54;20
5/4/2024;Ingeniero de Software;Ventas;Falta de Oportunidades;Alto;Doctorado;Remoto;Senior;41;3;27527;36;1,2227;3,35;116
6/4/2024;Ingeniero de Software;Ventas;Condiciones Laborales;Promedio;Doctorado;Remoto;Director;65;2;82258;41;6,6163;3,91;58
7/4/2024;Product Owner;Operaciones;Renuncia;Promedio;Tecnico;Remoto;Director;64;6;116474;48;7,2505;4,75;124
8/4/2024;Desarrollador;Desarrollo;Jubilacion;Promedio;Otros;Oficina Principal;Director;65;3;29855;35;5,2058;2,47;106
9/4/2024;Gerente de Proyecto;Consultoria;Jubilacion;Promedio;Doctorado;Oficina Principal;Lider;65;1;40471;37;7,7544;2,39;43
10/4/2024;Product Owner;Desarrollo;Cambio de Sector;Alto;Otros;Oficina Principal;Director;60;7;97351;40;9,4461;3,52;188
11/4/2024;Product Owner;Marketing;Jubilacion;Alto;Doctorado;Oficina Principal;Lider;65;5;62494;45;6,4912;1,86;63
12/4/2024;Desarrollador;Consultoria;Condiciones Laborales;Alto;Tecnico;Sucursal 1;Director;27;8;45805;43;1,7882;4,79;183
13/4/2024;UI/UX Designer;Recursos Humanos;Falta de Oportunidades;Alto;Licenciatura;Oficina Principal;Junior;50;9;81688;37;2,0070;1,83;51
14/4/2024;Ingeniero de Software;Ventas;Falta de Oportunidades;Promedio;Tecnico;Sucursal 1;Junior;43;7;54783;40;8,1153;2,97;146
15/4/2024;UI/UX Designer;Desarrollo;Condiciones Laborales;Promedio;Master;Sucursal 1;Junior;30;8;41550;41;2,8065;2,14;188
16/4/2024;Ingeniero de Software;Marketing;Renuncia;Alto;Tecnico;Oficina Principal;Semi Senior;27;6;56398;35;9,7304;1,94;138
17/4/2024;Analista de Datos;Ventas;Jubilacion;Promedio;Otros;Oficina Principal;Director;65;8;67520;48;8,4819;3,30;89
18/4/2024;Ingeniero de Software;Marketing;Renuncia;Alto;Tecnico;Sucursal 1;Director;46;7;49229;43;9,5221;2,11;126
19/4/2024;Desarrollador;Consultoria;Despido;Alto;Doctorado;Sucursal 1;Semi Senior;46;7;26123;38;5,4925;2,79;172
20/4/2024;Ingeniero de Software;Marketing;Renuncia;Alto;Tecnico;Oficina Principal;Lider;42;4;49915;38;3,0568;2,45;33
21/4/2024;Tester;Recursos Humanos;Condiciones Laborales;Bajo;Otros;Sucursal 1;Director;45;3;92058;43;3,7861;2,36;110
22/4/2024;Tester;Ventas;Falta de Oportunidades;Alto;Otros;Sucursal 1;Lider;58;1;92649;37;7,0123;3,50;185
23/4/2024;Ingeniero de Software;Consultoria;Despido;Alto;Otros;Sucursal 1;Semi Senior;60;9;50374;38;8,2926;1,25;195
24/4/2024;UI/UX Designer;Soporte;Renuncia;Bajo;Doctorado;Sucursal 1;Junior;54;5;111171;46;4,0560;1,76;114
25/4/2024;UI/UX Designer;Consultoria;Condiciones Laborales;Bajo;Tecnico;Remoto;Director;55;5;89608;37;6,1647;1,28;64
26/4/2024;Tester;Operaciones;Jubilacion;Alto;Tecnico;Remoto;Director;65;9;60145;39;2,0975;2,33;30
27/4/2024;Desarrollador;Recursos Humanos;Despido;Promedio;Otros;Sucursal 1;Lider;26;8;64227;44;7,0243;4,01;137
28/4/2024;Gerente de Proyecto;Desarrollo;Renuncia;Bajo;Doctorado;Sucursal 1;Senior;53;4;59792;48;1,5597;4,71;73
29/4/2024;Analista de Datos;Soporte;Falta de Oportunidades;Promedio;Otros;Remoto;Lider;37;8;49441;47;5,3300;4,12;37
30/4/2024;Gerente de Proyecto;Desarrollo;Renuncia;Alto;Doctorado;Remoto;Junior;25;8;91510;45;8,6846;4,88;87
1/5/2024;Desarrollador;Marketing;Falta de Oportunidades;Bajo;Otros;Sucursal 1;Lider;28;3;74956;43;7,6956;3,17;167
2/5/2024;Gerente de Proyecto;Operaciones;Condiciones Laborales;Alto;Otros;Remoto;Director;45;7;40824;44;9,1190;4,47;72
3/5/2024;Gerente de Proyecto;Desarrollo;Jubilacion;Bajo;Master;Oficina Principal;Lider;65;7;35090;48;9,4661;2,81;71
4/5/2024;Ingeniero de Software;Recursos Humanos;Condiciones Laborales;Bajo;Otros;Remoto;Junior;30;5;45104;38;1,2425;2,21;198
5/5/2024;Product Owner;Desarrollo;Cambio de Sector;Alto;Otros;Oficina Principal;Junior;23;2;58960;43;4,6783;3,29;24
6/5/2024;UI/UX Designer;Recursos Humanos;Condiciones Laborales;Promedio;Doctorado;Sucursal 1;Semi Senior;64;4;47670;47;5,7095;1,72;132
7/5/2024;Tester;Soporte;Cambio de Sector;Alto;Master;Sucursal 1;Director;51;4;37515;49;1,5204;3,35;127
8/5/2024;Product Owner;Desarrollo;Renuncia;Promedio;Licenciatura;Remoto;Junior;44;7;55737;41;9,5659;2,96;178
9/5/2024;Gerente de Proyecto;Recursos Humanos;Condiciones Laborales;Alto;Master;Oficina Principal;Lider;23;8;66706;43;8,7117;2,13;180
10/5/2024;Tester;Operaciones;Despido;Bajo;Tecnico;Oficina Principal;Semi Senior;28;2;74357;42;9,2205;4,71;182
11/5/2024;Gerente de Proyecto;Consultoria;Despido;Promedio;Tecnico;Oficina Principal;Senior;65;6;101905;40;1,4414;3,46;187
12/5/2024;Analista de Datos;Recursos Humanos;Cambio de Sector;Alto;Licenciatura;Oficina Principal;Director;56;3;87901;46;4,5857;4,47;16
13/5/2024;Tester;Recursos Humanos;Condiciones Laborales;Bajo;Otros;Sucursal 1;Semi Senior;56;7;61810;37;8,1012;2,26;77
14/5/2024;UI/UX Designer;Recursos Humanos;Cambio de Sector;Alto;Master;Oficina Principal;Lider;38;9;65099;48;1,2043;1,87;148
15/5/2024;UI/UX Designer;Ventas;Despido;Promedio;Licenciatura;Sucursal 1;Semi Senior;24;5;90186;44;4,6912;3,61;84
16/5/2024;Analista de Datos;Desarrollo;Condiciones Laborales;Bajo;Otros;Sucursal 1;Lider;52;5;84019;41;2,2917;4,67;60
17/5/2024;Gerente de Proyecto;Marketing;Despido;Promedio;Licenciatura;Remoto;Senior;30;1;43657;41;5,7216;1,26;63
18/5/2024;Analista de Datos;Ventas;Condiciones Laborales;Bajo;Otros;Remoto;Semi Senior;31;7;40301;45;2,0720;1,31;188
19/5/2024;Product Owner;Marketing;Condiciones Laborales;Alto;Doctorado;Oficina Principal;Lider;31;6;57502;47;3,0293;4,66;167
20/5/2024;Tester;Soporte;Despido;Bajo;Licenciatura;Sucursal 1;Senior;23;5;73615;41;4,8276;3,98;69
21/5/2024;Analista de Datos;Marketing;Condiciones Laborales;Alto;Doctorado;Oficina Principal;Junior;31;7;76724;45;3,2655;3,19;25
22/5/2024;Desarrollador;Marketing;Falta de Oportunidades;Promedio;Otros;Remoto;Junior;54;1;75938;41;9,7555;1,15;68
23/5/2024;Ingeniero de Software;Ventas;Jubilacion;Bajo;Licenciatura;Sucursal 1;Senior;65;3;54503;37;5,4230;4,07;196
24/5/2024;Product Owner;Marketing;Condiciones Laborales;Bajo;Tecnico;Oficina Principal;Lider;62;7;68770;36;5,9372;3,37;83
25/5/2024;Gerente de Proyecto;Consultoria;Renuncia;Promedio;Doctorado;Remoto;Senior;61;5;117410;45;6,6726;4,42;141
26/5/2024;Analista de Datos;Consultoria;Cambio de Sector;Bajo;Tecnico;Remoto;Semi Senior;31;8;115796;49;6,3425;3,77;60
27/5/2024;Ingeniero de Software;Consultoria;Jubilacion;Alto;Doctorado;Oficina Principal;Junior;65;5;104007;44;5,7023;2,86;150
28/5/2024;Product Owner;Desarrollo;Cambio de Sector;Alto;Doctorado;Remoto;Senior;30;9;111255;40;9,5461;2,08;194
29/5/2024;Desarrollador;Recursos Humanos;Jubilacion;Promedio;Otros;Oficina Principal;Junior;65;2;81322;49;2,6970;4,63;134
30/5/2024;Product Owner;Operaciones;Despido;Alto;Tecnico;Oficina Principal;Director;32;5;81168;43;4,7334;2,57;194
31/5/2024;Product Owner;Marketing;Condiciones Laborales;Bajo;Doctorado;Sucursal 1;Senior;40;3;108119;37;8,3913;3,39;113
1/6/2024;Desarrollador;Soporte;Condiciones Laborales;Promedio;Otros;Remoto;Junior;57;4;68974;44;8,9189;1,07;43
2/6/2024;Gerente de Proyecto;Soporte;Renuncia;Bajo;Otros;Oficina Principal;Semi Senior;37;4;98852;35;9,5181;2,69;116
3/6/2024;UI/UX Designer;Operaciones;Cambio de Sector;Bajo;Tecnico;Oficina Principal;Lider;38;1;72685;44;6,5079;3,13;172
4/6/2024;Ingeniero de Software;Soporte;Despido;Bajo;Tecnico;Sucursal 1;Junior;36;1;94298;47;2,0365;3,14;29
5/6/2024;Ingeniero de Software;Soporte;Renuncia;Bajo;Licenciatura;Oficina Principal;Lider;39;9;36193;37;1,6760;4,83;56
6/6/2024;UI/UX Designer;Operaciones;Falta de Oportunidades;Promedio;Tecnico;Sucursal 1;Senior;62;6;47741;38;8,8791;4,73;36
7/6/2024;Ingeniero de Software;Recursos Humanos;Falta de Oportunidades;Alto;Master;Sucursal 1;Junior;53;6;79311;48;5,4307;2,99;64
8/6/2024;Product Owner;Consultoria;Renuncia;Alto;Master;Remoto;Lider;57;2;36945;40;9,0410;3,06;185
9/6/2024;Tester;Recursos Humanos;Renuncia;Promedio;Licenciatura;Oficina Principal;Senior;49;4;97070;44;5,5618;4,02;75
10/6/2024;UI/UX Designer;Recursos Humanos;Falta de Oportunidades;Promedio;Licenciatura;Sucursal 1;Director;41;8;66445;39;8,7841;3,02;54
11/6/2024;Desarrollador;Marketing;Falta de Oportunidades;Alto;Master;Sucursal 1;Semi Senior;55;2;57798;43;9,5126;2,94;114
12/6/2024;Gerente de Proyecto;Recursos Humanos;Cambio de Sector;Alto;Master;Sucursal 1;Senior;34;4;73303;39;2,1309;1,25;19
13/6/2024;Tester;Ventas;Cambio de Sector;Promedio;Master;Sucursal 1;Director;35;1;90605;41;5,5307;1,26;82
14/6/2024;Product Owner;Desarrollo;Despido;Alto;Otros;Sucursal 1;Lider;48;4;91063;41;2,9474;3,44;196
15/6/2024;Gerente de Proyecto;Desarrollo;Renuncia;Bajo;Doctorado;Remoto;Semi Senior;45;6;47298;36;3,4557;4,22;179
16/6/2024;Desarrollador;Desarrollo;Cambio de Sector;Promedio;Master;Oficina Principal;Semi Senior;32;8;58009;44;1,1001;2,55;163
17/6/2024;UI/UX Designer;Recursos Humanos;Cambio de Sector;Alto;Otros;Sucursal 1;Semi Senior;42;9;71403;40;4,2542;4,99;66
18/6/2024;Desarrollador;Consultoria;Renuncia;Promedio;Licenciatura;Sucursal 1;Lider;56;2;63224;49;8,9215;1,55;163
19/6/2024;Product Owner;Desarrollo;Jubilacion;Alto;Master;Oficina Principal;Senior;65;3;69032;36;8,7480;4,40;44
20/6/2024;UI/UX Designer;Consultoria;Jubilacion;Promedio;Otros;Sucursal 1;Junior;65;5;109251;49;2,5210;3,14;52
21/6/2024;Ingeniero de Software;Operaciones;Renuncia;Bajo;Doctorado;Oficina Principal;Lider;48;5;26719;42;5,5080;3,57;183
22/6/2024;Tester;Ventas;Despido;Bajo;Master;Sucursal 1;Director;41;5;75339;46;7,5715;3,62;88
23/6/2024;Product Owner;Ventas;Falta de Oportunidades;Bajo;Otros;Oficina Principal;Semi Senior;24;1;99459;44;2,8342;1,05;186
24/6/2024;Tester;Recursos Humanos;Cambio de Sector;Bajo;Otros;Oficina Principal;Lider;26;5;75791;46;6,0230;4,43;185
25/6/2024;Analista de Datos;Ventas;Falta de Oportunidades;Bajo;Doctorado;Oficina Principal;Semi Senior;62;4;66444;42;4,7668;3,73;146
26/6/2024;Product Owner;Operaciones;Condiciones Laborales;Bajo;Licenciatura;Remoto;Semi Senior;30;2;73416;36;8,8094;4,08;32
27/6/2024;UI/UX Designer;Marketing;Renuncia;Bajo;Licenciatura;Remoto;Director;25;8;77487;39;5,0139;2,13;120
28/6/2024;Tester;Marketing;Jubilacion;Alto;Otros;Remoto;Semi Senior;65;7;25554;43;9,3532;3,00;74
29/6/2024;Tester;Consultoria;Falta de Oportunidades;Bajo;Doctorado;Remoto;Lider;31;8;80518;38;7,7100;2,44;84
30/6/2024;Product Owner;Desarrollo;Condiciones Laborales;Promedio;Otros;Remoto;Lider;39;3;65573;37;2,8265;1,33;79
1/7/2024;Analista de Datos;Recursos Humanos;Condiciones Laborales;Promedio;Otros;Oficina Principal;Senior;23;5;88326;48;5,4099;1,91;68
2/7/2024;Product Owner;Consultoria;Jubilacion;Alto;Master;Oficina Principal;Director;65;6;31623;49;3,7829;4,03;34
3/7/2024;Ingeniero de Software;Ventas;Falta de Oportunidades;Bajo;Licenciatura;Sucursal 1;Lider;61;6;73508;42;4,3312;1,00;68
4/7/2024;Tester;Recursos Humanos;Renuncia;Alto;Doctorado;Oficina Principal;Junior;26;1;54322;40;4,6241;1,12;125
5/7/2024;UI/UX Designer;Consultoria;Falta de Oportunidades;Bajo;Master;Oficina Principal;Lider;38;2;76530;47;2,7795;3,63;99
6/7/2024;Ingeniero de Software;Marketing;Falta de Oportunidades;Bajo;Otros;Remoto;Lider;48;9;91467;44;9,8352;1,94;60
7/7/2024;Ingeniero de Software;Ventas;Condiciones Laborales;Promedio;Master;Oficina Principal;Director;55;6;100967;49;7,8613;2,94;146
8/7/2024;Gerente de Proyecto;Soporte;Falta de Oportunidades;Bajo;Doctorado;Sucursal 1;Lider;39;8;66789;46;3,6867;2,53;84
9/7/2024;Desarrollador;Recursos Humanos;Falta de Oportunidades;Alto;Master;Oficina Principal;Senior;32;3;58839;46;9,4463;3,74;97
10/7/2024;Gerente de Proyecto;Desarrollo;Jubilacion;Promedio;Master;Sucursal 1;Senior;65;7;60555;44;4,4627;3,89;124
11/7/2024;Analista de Datos;Operaciones;Cambio de Sector;Promedio;Doctorado;Sucursal 1;Director;33;9;75189;45;3,3503;4,53;174
12/7/2024;Gerente de Proyecto;Desarrollo;Renuncia;Bajo;Master;Oficina Principal;Semi Senior;35;5;26577;40;9,0052;1,47;55
13/7/2024;Analista de Datos;Ventas;Jubilacion;Alto;Master;Remoto;Lider;65;5;119752;46;6,9765;2,45;94
14/7/2024;Ingeniero de Software;Soporte;Renuncia;Bajo;Master;Sucursal 1;Director;58;7;100662;40;9,0033;2,48;103
15/7/2024;Analista de Datos;Consultoria;Jubilacion;Alto;Licenciatura;Remoto;Senior;65;1;44107;46;5,1162;1,17;10
16/7/2024;Tester;Operaciones;Despido;Alto;Otros;Remoto;Senior;62;6;117265;37;4,5177;2,60;40
17/7/2024;Analista de Datos;Ventas;Jubilacion;Bajo;Tecnico;Oficina Principal;Junior;65;3;116403;46;7,4302;1,21;11
18/7/2024;Ingeniero de Software;Desarrollo;Condiciones Laborales;Bajo;Master;Remoto;Junior;58;8;47998;35;6,8202;4,05;105
19/7/2024;Analista de Datos;Desarrollo;Condiciones Laborales;Promedio;Doctorado;Remoto;Semi Senior;27;3;35960;38;4,1361;1,09;75
20/7/2024;UI/UX Designer;Operaciones;Cambio de Sector;Bajo;Licenciatura;Sucursal 1;Director;50;8;45833;39;3,0985;2,66;37
21/7/2024;Desarrollador;Desarrollo;Cambio de Sector;Alto;Otros;Sucursal 1;Junior;36;4;76712;45;3,3105;2,18;66
22/7/2024;Product Owner;Operaciones;Condiciones Laborales;Bajo;Tecnico;Remoto;Director;32;9;29920;43;2,4528;3,65;116
23/7/2024;Desarrollador;Desarrollo;Renuncia;Promedio;Tecnico;Remoto;Lider;33;4;34978;41;5,0515;4,60;72
24/7/2024;UI/UX Designer;Desarrollo;Condiciones Laborales;Alto;Tecnico;Sucursal 1;Semi Senior;28;1;82794;46;5,5682;4,75;66
25/7/2024;Gerente de Proyecto;Soporte;Jubilacion;Alto;Tecnico;Oficina Principal;Lider;65;4;56913;46;8,5776;4,19;187
26/7/2024;Ingeniero de Software;Recursos Humanos;Despido;Bajo;Master;Oficina Principal;Lider;30;5;33135;44;3,3149;1,68;42
27/7/2024;Gerente de Proyecto;Soporte;Despido;Bajo;Doctorado;Remoto;Lider;36;9;97094;47;6,7816;2,65;169
28/7/2024;Gerente de Proyecto;Ventas;Cambio de Sector;Bajo;Master;Oficina Principal;Junior;60;7;116967;40;9,1519;1,38;123
29/7/2024;Ingeniero de Software;Marketing;Falta de Oportunidades;Alto;Tecnico;Oficina Principal;Lider;30;7;74858;46;1,9742;4,97;50
30/7/2024;Ingeniero de Software;Operaciones;Cambio de Sector;Bajo;Doctorado;Sucursal 1;Senior;42;8;90800;44;9,0363;4,62;187
31/7/2024;Ingeniero de Software;Recursos Humanos;Jubilacion;Promedio;Master;Oficina Principal;Junior;65;5;101899;45;8,4520;2,98;97
1/8/2024;Desarrollador;Ventas;Jubilacion;Promedio;Otros;Sucursal 1;Semi Senior;65;1;105272;45;4,2069;2,94;170
2/8/2024;Desarrollador;Operaciones;Despido;Promedio;Doctorado;Oficina Principal;Lider;25;6;40757;45;3,7098;1,61;193
3/8/2024;Analista de Datos;Desarrollo;Jubilacion;Promedio;Doctorado;Oficina Principal;Senior;65;3;76403;41;8,4268;2,14;47
4/8/2024;Analista de Datos;Marketing;Despido;Alto;Master;Oficina Principal;Lider;37;6;55213;37;4,6550;2,06;176
5/8/2024;Product Owner;Operaciones;Cambio de Sector;Alto;Tecnico;Oficina Principal;Junior;51;3;71733;42;3,8823;1,68;118
6/8/2024;Gerente de Proyecto;Desarrollo;Cambio de Sector;Bajo;Master;Remoto;Director;26;3;45860;46;3,9240;1,68;177
7/8/2024;Product Owner;Soporte;Jubilacion;Promedio;Master;Sucursal 1;Semi Senior;65;5;43274;42;9,5619;1,44;133
