Fecha,Tipo de Consulta,Segmento de Cliente,Canal de Comunicacion,Empleado Responsable,Ubicacion,Estado del Ticket,Nivel de Satisfaccion,Numero de Consultas,Tiempo de Resolucion (minutos),Numero de Seguimientos,Numero de Tickets Abiertos,Numero de Tickets Cerrados,Porcentaje de Resolucion al Primer Contacto,Numero de Escalaciones
9/12/2024,Reclamacion de Envio,Empresa,Telefono,EMP0020,Oficina en Linea,En Progreso,Insatisfecho,7,133,3,2,1,52.17,1
2/6/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0017,Oficina Principal,Pendiente,Insatisfecho,6,132,4,2,0,42.27,0
3/5/2024,Reclamacion de Envio,Distribuidor,Telefono,EMP0010,Oficina Principal,Cerrado,Satisfecho,8,64,4,5,8,49.75,0
14/7/2024,Reclamacion de Envio,Mayorista,Chat en Linea,EMP0014,Sucursal A,Cerrado,Muy Insatisfecho,6,60,2,6,0,74.23,1
16/3/2024,Consulta de Garantia,Empresa,Redes Sociales,EMP0014,Oficina en Linea,Pendiente,Satisfecho,11,13,3,10,7,95.29,1
5/7/2024,Problema de Producto,Individual,Correo Electronico,EMP0002,Sucursal A,Cerrado,Satisfecho,15,51,0,6,7,42.61,1
18/10/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0001,Sucursal A,En Progreso,Neutral,17,111,1,0,10,41.24,2
27/2/2024,Consulta de Facturacion,Mayorista,Redes Sociales,EMP0014,Sucursal A,En Progreso,Neutral,18,117,4,0,5,70.40,1
30/3/2024,Consulta de Garantia,Distribuidor,Formulario Web,EMP0020,Sucursal A,Cerrado,Satisfecho,8,69,2,6,5,40.64,2
25/7/2024,Solicitud de Devolucion,Distribuidor,Redes Sociales,EMP0003,Sucursal B,Abierto,Insatisfecho,8,114,0,2,5,91.02,2
2/4/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0016,Oficina Principal,En Progreso,Muy Insatisfecho,16,120,1,4,1,77.41,0
12/1/2024,Consulta de Facturacion,Empresa,Formulario Web,EMP0008,Sucursal A,En Progreso,Insatisfecho,1,67,3,0,5,69.35,0
14/1/2024,Informacion de Promociones,Mayorista,Formulario Web,EMP0008,Sucursal B,Pendiente,Muy Insatisfecho,18,54,0,1,15,79.44,0
19/11/2024,Reclamacion de Envio,Mayorista,Chat en Linea,EMP0011,Oficina Principal,Abierto,Neutral,20,91,2,2,3,87.99,0
22/1/2024,Consulta de Garantia,Distribuidor,Chat en Linea,EMP0006,Sucursal B,Pendiente,Muy Insatisfecho,15,57,2,9,2,48.74,2
12/7/2024,Problema de Producto,Mayorista,Correo Electronico,EMP0016,Oficina en Linea,En Progreso,Muy Satisfecho,2,56,2,4,5,41.24,0
5/6/2024,Soporte Tecnico,Distribuidor,Correo Electronico,EMP0006,Oficina Principal,Cerrado,Satisfecho,11,107,3,6,3,78.98,1
22/7/2024,Reclamacion de Envio,Empresa,Telefono,EMP0007,Sucursal A,Cerrado,Satisfecho,13,90,1,5,14,68.31,2
22/6/2024,Informacion de Promociones,Distribuidor,Telefono,EMP0017,Sucursal A,En Progreso,Insatisfecho,17,94,3,3,9,86.57,2
29/2/2024,Soporte Tecnico,Empresa,Redes Sociales,EMP0012,Sucursal B,En Progreso,Muy Satisfecho,5,59,1,6,13,72.31,0
16/9/2024,Soporte Tecnico,Empresa,Telefono,EMP0019,Oficina en Linea,Pendiente,Insatisfecho,7,63,3,7,15,60.45,0
17/9/2024,Informacion de Promociones,Mayorista,Redes Sociales,EMP0004,Sucursal A,Pendiente,Insatisfecho,17,57,2,2,1,68.83,0
25/12/2024,Reclamacion de Envio,Distribuidor,Formulario Web,EMP0002,Sucursal B,En Progreso,Satisfecho,18,50,4,6,0,54.32,0
17/5/2024,Consulta de Facturacion,Individual,Formulario Web,EMP0001,Oficina Principal,Cerrado,Neutral,1,10,3,6,12,62.36,1
2/2/2024,Consulta de Garantia,Distribuidor,Correo Electronico,EMP0010,Oficina en Linea,Pendiente,Insatisfecho,16,59,4,0,0,66.98,1
16/5/2024,Consulta de Facturacion,Mayorista,Chat en Linea,EMP0007,Sucursal A,Abierto,Insatisfecho,17,14,0,5,13,98.67,2
8/8/2024,Consulta de Facturacion,Empresa,Formulario Web,EMP0020,Oficina Principal,Pendiente,Satisfecho,15,104,4,0,1,62.43,1
26/7/2024,Problema de Producto,Mayorista,Formulario Web,EMP0010,Sucursal A,En Progreso,Muy Satisfecho,16,2,2,1,6,84.07,0
22/12/2024,Solicitud de Devolucion,Empresa,Redes Sociales,EMP0014,Sucursal A,En Progreso,Muy Satisfecho,1,69,1,8,5,66.77,0
7/2/2024,Solicitud de Devolucion,Empresa,Correo Electronico,EMP0011,Oficina Principal,En Progreso,Insatisfecho,4,29,3,6,4,86.43,0
2/10/2024,Solicitud de Devolucion,Individual,Formulario Web,EMP0015,Sucursal A,Abierto,Satisfecho,18,124,3,3,11,86.03,2
2/11/2024,Consulta de Facturacion,Empresa,Redes Sociales,EMP0004,Sucursal B,En Progreso,Neutral,19,129,3,1,8,90.60,1
28/9/2024,Soporte Tecnico,Distribuidor,Chat en Linea,EMP0010,Sucursal B,Pendiente,Neutral,3,116,1,2,15,78.63,1
25/12/2024,Reclamacion de Envio,Distribuidor,Formulario Web,EMP0002,Sucursal A,En Progreso,Muy Insatisfecho,16,48,4,9,10,99.55,2
17/8/2024,Consulta de Garantia,Mayorista,Redes Sociales,EMP0001,Oficina en Linea,Pendiente,Muy Satisfecho,19,117,4,7,6,70.97,2
5/5/2024,Solicitud de Devolucion,Distribuidor,Formulario Web,EMP0006,Oficina en Linea,Pendiente,Satisfecho,2,47,3,6,0,97.57,1
12/8/2024,Reclamacion de Envio,Mayorista,Correo Electronico,EMP0004,Sucursal B,En Progreso,Satisfecho,9,27,3,6,14,77.34,2
21/3/2024,Soporte Tecnico,Empresa,Telefono,EMP0018,Oficina Principal,Pendiente,Insatisfecho,14,92,2,1,7,54.75,2
29/7/2024,Consulta de Facturacion,Distribuidor,Telefono,EMP0016,Oficina Principal,En Progreso,Muy Insatisfecho,11,17,3,9,2,99.12,2
29/4/2024,Consulta de Garantia,Individual,Chat en Linea,EMP0020,Sucursal B,Pendiente,Muy Insatisfecho,2,53,4,5,4,97.12,1
5/9/2024,Informacion de Promociones,Mayorista,Formulario Web,EMP0011,Oficina en Linea,En Progreso,Muy Satisfecho,4,63,3,4,4,65.70,0
24/4/2024,Solicitud de Devolucion,Individual,Telefono,EMP0016,Sucursal B,Pendiente,Satisfecho,20,129,2,3,6,56.87,1
8/6/2024,Consulta de Garantia,Empresa,Chat en Linea,EMP0004,Oficina en Linea,Pendiente,Muy Satisfecho,15,82,3,2,13,47.42,1
9/12/2024,Consulta de Facturacion,Distribuidor,Redes Sociales,EMP0005,Oficina en Linea,Cerrado,Muy Insatisfecho,13,127,4,9,1,76.28,0
6/1/2024,Reclamacion de Envio,Distribuidor,Telefono,EMP0013,Oficina Principal,Pendiente,Insatisfecho,6,65,0,8,2,79.65,2
12/12/2024,Informacion de Promociones,Individual,Chat en Linea,EMP0014,Sucursal B,En Progreso,Insatisfecho,9,130,1,10,6,50.55,1
16/12/2024,Informacion de Promociones,Empresa,Formulario Web,EMP0013,Oficina en Linea,En Progreso,Muy Satisfecho,16,94,1,3,4,85.84,1
11/3/2024,Informacion de Promociones,Empresa,Redes Sociales,EMP0005,Oficina Principal,En Progreso,Neutral,18,27,4,9,5,70.38,2
3/4/2024,Solicitud de Devolucion,Distribuidor,Redes Sociales,EMP0003,Oficina en Linea,Pendiente,Neutral,6,130,1,2,6,64.78,0
7/7/2024,Solicitud de Devolucion,Empresa,Redes Sociales,EMP0004,Sucursal A,Cerrado,Insatisfecho,13,115,3,4,10,84.06,0
23/7/2024,Informacion de Promociones,Distribuidor,Telefono,EMP0008,Oficina en Linea,Abierto,Neutral,19,109,4,3,15,59.95,2
31/8/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0001,Sucursal A,Pendiente,Insatisfecho,1,125,4,9,3,78.49,1
30/11/2024,Solicitud de Devolucion,Distribuidor,Formulario Web,EMP0006,Sucursal A,Cerrado,Neutral,19,45,0,1,3,78.51,0
15/6/2024,Solicitud de Devolucion,Distribuidor,Redes Sociales,EMP0003,Oficina en Linea,Cerrado,Neutral,6,108,2,4,10,54.45,0
14/6/2024,Reclamacion de Envio,Mayorista,Correo Electronico,EMP0010,Sucursal B,Pendiente,Muy Insatisfecho,2,19,4,2,10,80.23,0
29/11/2024,Consulta de Facturacion,Empresa,Chat en Linea,EMP0008,Oficina en Linea,Abierto,Neutral,14,42,4,3,2,61.91,1
19/2/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0018,Sucursal A,Cerrado,Neutral,17,5,1,6,9,83.39,0
11/1/2024,Consulta de Facturacion,Empresa,Correo Electronico,EMP0011,Sucursal B,En Progreso,Muy Insatisfecho,14,93,2,9,7,63.13,2
6/11/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0018,Sucursal A,Cerrado,Satisfecho,13,106,1,8,8,49.97,1
18/5/2024,Soporte Tecnico,Individual,Chat en Linea,EMP0004,Oficina en Linea,En Progreso,Insatisfecho,16,45,0,5,15,57.11,1
7/1/2024,Consulta de Facturacion,Individual,Telefono,EMP0005,Sucursal A,Pendiente,Muy Insatisfecho,13,13,4,0,3,77.37,1
26/3/2024,Informacion de Promociones,Mayorista,Formulario Web,EMP0019,Sucursal B,Cerrado,Muy Satisfecho,15,104,0,7,12,60.68,0
4/2/2024,Consulta de Facturacion,Empresa,Chat en Linea,EMP0016,Oficina Principal,Pendiente,Muy Insatisfecho,17,127,3,6,10,82.47,1
7/8/2024,Consulta de Facturacion,Mayorista,Redes Sociales,EMP0015,Sucursal B,Abierto,Satisfecho,5,48,2,5,9,77.72,2
17/12/2024,Solicitud de Devolucion,Mayorista,Redes Sociales,EMP0006,Sucursal A,Pendiente,Insatisfecho,3,59,0,9,10,95.25,0
22/4/2024,Consulta de Garantia,Distribuidor,Correo Electronico,EMP0004,Oficina en Linea,Pendiente,Muy Satisfecho,7,16,4,6,5,74.81,1
2/3/2024,Reclamacion de Envio,Mayorista,Chat en Linea,EMP0012,Oficina en Linea,Cerrado,Satisfecho,2,108,0,6,14,89.69,2
13/8/2024,Consulta de Garantia,Empresa,Formulario Web,EMP0019,Sucursal A,En Progreso,Muy Insatisfecho,2,21,1,3,4,86.58,1
24/5/2024,Consulta de Garantia,Empresa,Chat en Linea,EMP0011,Sucursal B,En Progreso,Neutral,18,46,4,1,0,43.97,1
27/5/2024,Solicitud de Devolucion,Mayorista,Formulario Web,EMP0007,Sucursal A,Cerrado,Neutral,15,107,2,0,13,58.38,1
2/2/2024,Problema de Producto,Individual,Chat en Linea,EMP0003,Oficina en Linea,Abierto,Satisfecho,16,94,2,7,12,63.59,2
25/8/2024,Reclamacion de Envio,Empresa,Chat en Linea,EMP0002,Sucursal B,Pendiente,Satisfecho,15,76,1,3,10,96.28,0
12/4/2024,Problema de Producto,Mayorista,Telefono,EMP0015,Oficina Principal,Pendiente,Neutral,18,24,2,2,7,55.37,2
5/5/2024,Solicitud de Devolucion,Distribuidor,Telefono,EMP0007,Oficina Principal,Cerrado,Satisfecho,17,54,2,6,6,41.85,1
30/4/2024,Soporte Tecnico,Individual,Correo Electronico,EMP0019,Sucursal A,Cerrado,Insatisfecho,8,109,4,6,2,65.37,1
28/4/2024,Problema de Producto,Empresa,Redes Sociales,EMP0002,Oficina en Linea,Pendiente,Satisfecho,19,131,4,10,8,59.97,2
25/1/2024,Informacion de Promociones,Mayorista,Formulario Web,EMP0002,Sucursal B,Abierto,Muy Insatisfecho,2,12,4,8,6,90.77,0
14/8/2024,Soporte Tecnico,Distribuidor,Formulario Web,EMP0014,Sucursal B,Cerrado,Muy Satisfecho,18,57,3,5,15,88.97,2
27/3/2024,Consulta de Facturacion,Empresa,Telefono,EMP0011,Sucursal A,Pendiente,Muy Satisfecho,6,32,2,2,6,56.82,1
13/8/2024,Problema de Producto,Individual,Redes Sociales,EMP0016,Oficina en Linea,Cerrado,Insatisfecho,14,30,4,9,9,42.44,2
3/12/2024,Problema de Producto,Empresa,Telefono,EMP0016,Oficina en Linea,Abierto,Insatisfecho,8,106,0,1,2,73.61,1
29/6/2024,Problema de Producto,Distribuidor,Redes Sociales,EMP0020,Oficina en Linea,Pendiente,Muy Insatisfecho,1,73,2,6,12,81.40,0
24/11/2024,Consulta de Garantia,Distribuidor,Telefono,EMP0013,Sucursal A,Cerrado,Muy Insatisfecho,18,20,4,2,2,57.74,2
12/7/2024,Consulta de Facturacion,Empresa,Correo Electronico,EMP0001,Sucursal B,En Progreso,Muy Satisfecho,6,104,3,2,14,67.70,2
9/6/2024,Problema de Producto,Mayorista,Telefono,EMP0013,Oficina en Linea,Pendiente,Insatisfecho,15,94,3,9,0,79.53,1
17/4/2024,Consulta de Garantia,Individual,Chat en Linea,EMP0014,Oficina en Linea,Cerrado,Muy Insatisfecho,8,36,1,3,11,68.44,1
14/3/2024,Reclamacion de Envio,Empresa,Formulario Web,EMP0020,Oficina en Linea,Cerrado,Satisfecho,15,51,2,10,12,41.96,1
28/3/2024,Reclamacion de Envio,Empresa,Redes Sociales,EMP0006,Oficina Principal,En Progreso,Insatisfecho,9,39,3,6,10,63.62,2
29/11/2024,Consulta de Garantia,Distribuidor,Chat en Linea,EMP0013,Oficina Principal,Abierto,Satisfecho,3,77,2,10,8,44.34,2
30/8/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0016,Sucursal A,En Progreso,Satisfecho,20,109,3,1,7,58.60,2
12/9/2024,Problema de Producto,Mayorista,Correo Electronico,EMP0011,Sucursal A,Cerrado,Muy Insatisfecho,16,14,0,7,3,73.23,1
11/4/2024,Solicitud de Devolucion,Empresa,Formulario Web,EMP0007,Sucursal B,En Progreso,Satisfecho,15,85,0,9,7,89.25,0
23/10/2024,Solicitud de Devolucion,Empresa,Redes Sociales,EMP0008,Oficina en Linea,En Progreso,Muy Satisfecho,4,13,1,6,6,81.32,1
1/2/2024,Informacion de Promociones,Distribuidor,Chat en Linea,EMP0007,Oficina en Linea,En Progreso,Muy Insatisfecho,5,130,4,4,14,40.97,0
26/10/2024,Consulta de Facturacion,Individual,Telefono,EMP0012,Oficina en Linea,Abierto,Neutral,8,101,4,3,1,98.17,2
6/3/2024,Consulta de Garantia,Mayorista,Telefono,EMP0015,Sucursal A,Pendiente,Insatisfecho,13,106,2,10,1,61.65,0
16/2/2024,Soporte Tecnico,Distribuidor,Redes Sociales,EMP0018,Oficina en Linea,En Progreso,Muy Insatisfecho,13,45,1,7,10,68.18,0
28/9/2024,Consulta de Garantia,Individual,Correo Electronico,EMP0012,Sucursal B,Pendiente,Muy Insatisfecho,6,110,1,2,0,81.65,1
3/9/2024,Soporte Tecnico,Mayorista,Correo Electronico,EMP0006,Sucursal A,En Progreso,Muy Satisfecho,15,130,3,2,11,76.16,1
14/3/2024,Solicitud de Devolucion,Empresa,Chat en Linea,EMP0013,Oficina en Linea,Cerrado,Satisfecho,2,91,3,9,12,82.64,1
7/9/2024,Consulta de Facturacion,Mayorista,Chat en Linea,EMP0006,Sucursal A,En Progreso,Insatisfecho,20,91,4,2,2,70.67,1
26/5/2024,Soporte Tecnico,Distribuidor,Correo Electronico,EMP0007,Oficina en Linea,Cerrado,Neutral,11,115,4,6,11,95.78,0
23/1/2024,Consulta de Garantia,Individual,Formulario Web,EMP0016,Oficina en Linea,Abierto,Insatisfecho,8,132,1,8,1,87.59,0
21/10/2024,Reclamacion de Envio,Empresa,Chat en Linea,EMP0013,Oficina en Linea,Pendiente,Insatisfecho,3,4,4,0,6,65.37,1
17/3/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0010,Oficina Principal,Pendiente,Neutral,1,83,2,9,5,48.86,0
4/10/2024,Soporte Tecnico,Distribuidor,Chat en Linea,EMP0010,Sucursal A,Abierto,Muy Satisfecho,16,102,2,8,7,43.87,1
9/3/2024,Soporte Tecnico,Empresa,Telefono,EMP0017,Sucursal A,Cerrado,Muy Insatisfecho,7,84,2,6,11,67.27,2
29/1/2024,Consulta de Garantia,Individual,Correo Electronico,EMP0002,Sucursal B,En Progreso,Insatisfecho,7,27,1,6,0,50.07,0
19/7/2024,Problema de Producto,Individual,Correo Electronico,EMP0010,Sucursal A,En Progreso,Muy Insatisfecho,8,44,1,1,14,73.47,2
16/12/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0010,Sucursal A,Cerrado,Muy Satisfecho,10,107,3,10,6,68.15,2
23/1/2024,Soporte Tecnico,Mayorista,Telefono,EMP0013,Sucursal A,Abierto,Muy Satisfecho,7,120,1,10,2,66.07,2
21/7/2024,Problema de Producto,Distribuidor,Formulario Web,EMP0012,Oficina en Linea,En Progreso,Insatisfecho,5,59,2,9,12,60.66,0
15/6/2024,Consulta de Facturacion,Distribuidor,Formulario Web,EMP0003,Sucursal B,En Progreso,Satisfecho,14,22,1,8,13,83.25,2
10/12/2024,Solicitud de Devolucion,Empresa,Formulario Web,EMP0004,Sucursal B,Cerrado,Muy Satisfecho,20,62,2,9,6,79.05,1
2/3/2024,Solicitud de Devolucion,Mayorista,Telefono,EMP0020,Sucursal A,Abierto,Neutral,12,48,4,2,8,40.64,1
22/12/2024,Soporte Tecnico,Mayorista,Formulario Web,EMP0011,Oficina Principal,En Progreso,Satisfecho,8,33,3,7,14,75.79,1
20/4/2024,Reclamacion de Envio,Distribuidor,Redes Sociales,EMP0017,Sucursal B,Abierto,Insatisfecho,17,133,3,1,5,48.24,0
13/2/2024,Problema de Producto,Mayorista,Redes Sociales,EMP0004,Sucursal A,Cerrado,Neutral,8,104,4,1,3,79.12,0
1/1/2024,Solicitud de Devolucion,Empresa,Correo Electronico,EMP0009,Sucursal B,En Progreso,Muy Insatisfecho,12,54,0,2,4,40.39,0
18/11/2024,Consulta de Garantia,Distribuidor,Chat en Linea,EMP0003,Oficina en Linea,Pendiente,Insatisfecho,3,45,0,1,0,81.69,0
28/9/2024,Consulta de Facturacion,Distribuidor,Chat en Linea,EMP0010,Oficina en Linea,En Progreso,Satisfecho,7,108,0,8,7,85.93,2
20/8/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0015,Sucursal B,Pendiente,Muy Satisfecho,20,106,0,10,12,68.61,1
20/7/2024,Informacion de Promociones,Individual,Chat en Linea,EMP0016,Sucursal B,Pendiente,Neutral,8,127,0,2,4,86.54,2
16/6/2024,Consulta de Garantia,Empresa,Telefono,EMP0005,Oficina en Linea,Abierto,Muy Insatisfecho,12,113,0,5,9,41.64,0
9/5/2024,Problema de Producto,Individual,Telefono,EMP0002,Oficina Principal,Pendiente,Insatisfecho,2,92,4,5,0,98.77,2
1/2/2024,Problema de Producto,Individual,Telefono,EMP0020,Sucursal A,Abierto,Muy Satisfecho,6,72,1,5,1,55.58,1
8/12/2024,Solicitud de Devolucion,Distribuidor,Chat en Linea,EMP0006,Oficina en Linea,Abierto,Satisfecho,16,15,3,2,11,74.66,2
4/7/2024,Solicitud de Devolucion,Individual,Formulario Web,EMP0016,Sucursal B,En Progreso,Muy Satisfecho,20,107,2,3,10,53.35,0
1/9/2024,Consulta de Garantia,Distribuidor,Chat en Linea,EMP0011,Oficina en Linea,Abierto,Neutral,2,108,3,2,1,70.44,2
6/3/2024,Problema de Producto,Empresa,Correo Electronico,EMP0008,Oficina en Linea,Abierto,Neutral,1,73,1,4,9,64.45,2
8/10/2024,Soporte Tecnico,Empresa,Formulario Web,EMP0002,Oficina en Linea,Abierto,Muy Satisfecho,6,21,0,4,7,46.02,1
30/12/2024,Solicitud de Devolucion,Empresa,Formulario Web,EMP0017,Sucursal B,En Progreso,Muy Satisfecho,1,42,2,3,1,51.28,1
7/11/2024,Reclamacion de Envio,Distribuidor,Telefono,EMP0020,Oficina en Linea,Pendiente,Muy Insatisfecho,13,71,1,2,10,44.43,2
21/3/2024,Reclamacion de Envio,Mayorista,Redes Sociales,EMP0009,Sucursal B,Cerrado,Muy Insatisfecho,9,115,2,4,4,49.16,1
25/8/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0003,Sucursal B,En Progreso,Neutral,12,12,1,7,15,46.67,0
3/8/2024,Problema de Producto,Mayorista,Formulario Web,EMP0014,Oficina Principal,Pendiente,Satisfecho,13,109,4,7,7,80.33,1
20/4/2024,Reclamacion de Envio,Empresa,Telefono,EMP0017,Oficina en Linea,En Progreso,Muy Satisfecho,2,70,2,4,7,96.42,1
14/8/2024,Solicitud de Devolucion,Individual,Formulario Web,EMP0020,Oficina Principal,En Progreso,Insatisfecho,2,28,0,8,13,51.81,0
9/6/2024,Soporte Tecnico,Empresa,Redes Sociales,EMP0005,Oficina en Linea,Abierto,Muy Insatisfecho,18,79,4,5,13,90.68,0
13/1/2024,Reclamacion de Envio,Individual,Correo Electronico,EMP0017,Oficina en Linea,Pendiente,Muy Insatisfecho,15,63,2,3,10,75.55,0
12/8/2024,Informacion de Promociones,Individual,Redes Sociales,EMP0020,Oficina Principal,Cerrado,Neutral,18,85,1,8,12,58.09,2
7/5/2024,Reclamacion de Envio,Empresa,Telefono,EMP0015,Oficina en Linea,Cerrado,Muy Insatisfecho,10,98,3,5,5,49.86,0
13/9/2024,Consulta de Facturacion,Individual,Formulario Web,EMP0016,Oficina Principal,En Progreso,Insatisfecho,2,40,0,5,13,81.13,2
14/2/2024,Reclamacion de Envio,Mayorista,Correo Electronico,EMP0013,Oficina Principal,En Progreso,Satisfecho,8,93,4,10,15,87.66,2
28/12/2024,Reclamacion de Envio,Individual,Chat en Linea,EMP0017,Sucursal A,Abierto,Muy Insatisfecho,18,50,2,0,3,68.21,1
5/9/2024,Problema de Producto,Individual,Redes Sociales,EMP0004,Sucursal B,En Progreso,Neutral,11,119,0,9,11,79.20,0
11/12/2024,Informacion de Promociones,Distribuidor,Formulario Web,EMP0007,Oficina Principal,Cerrado,Muy Insatisfecho,4,88,4,2,10,90.02,2
12/10/2024,Soporte Tecnico,Mayorista,Redes Sociales,EMP0009,Sucursal A,Abierto,Muy Satisfecho,16,8,1,10,5,98.85,1
13/9/2024,Soporte Tecnico,Distribuidor,Telefono,EMP0012,Oficina Principal,Abierto,Neutral,4,20,4,9,15,57.21,2
10/10/2024,Soporte Tecnico,Empresa,Chat en Linea,EMP0013,Oficina en Linea,Abierto,Muy Satisfecho,19,134,3,6,13,52.23,1
3/11/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0018,Oficina Principal,Pendiente,Insatisfecho,16,117,0,6,9,50.11,0
8/12/2024,Reclamacion de Envio,Mayorista,Formulario Web,EMP0009,Sucursal A,Cerrado,Muy Insatisfecho,5,100,2,2,10,92.47,2
5/7/2024,Solicitud de Devolucion,Empresa,Formulario Web,EMP0004,Sucursal A,En Progreso,Muy Satisfecho,14,66,2,4,2,47.02,1
28/4/2024,Consulta de Facturacion,Mayorista,Chat en Linea,EMP0017,Sucursal B,Pendiente,Satisfecho,14,8,3,1,0,68.88,0
7/12/2024,Solicitud de Devolucion,Distribuidor,Telefono,EMP0014,Sucursal B,Abierto,Muy Insatisfecho,16,3,2,8,9,86.33,1
17/10/2024,Problema de Producto,Individual,Redes Sociales,EMP0001,Sucursal A,Cerrado,Insatisfecho,20,27,3,1,13,46.63,2
1/4/2024,Consulta de Garantia,Empresa,Correo Electronico,EMP0015,Oficina en Linea,Abierto,Insatisfecho,7,135,0,0,11,58.47,2
21/9/2024,Consulta de Garantia,Distribuidor,Redes Sociales,EMP0015,Sucursal A,Pendiente,Muy Insatisfecho,2,70,3,3,12,74.51,2
27/6/2024,Consulta de Garantia,Individual,Formulario Web,EMP0007,Sucursal B,En Progreso,Muy Satisfecho,6,112,0,10,8,51.27,0
14/11/2024,Informacion de Promociones,Mayorista,Redes Sociales,EMP0012,Oficina Principal,Pendiente,Satisfecho,4,103,4,7,13,85.73,1
12/3/2024,Consulta de Facturacion,Individual,Redes Sociales,EMP0014,Oficina Principal,Abierto,Muy Satisfecho,3,104,2,0,1,49.54,1
12/11/2024,Problema de Producto,Mayorista,Correo Electronico,EMP0012,Oficina Principal,Abierto,Muy Satisfecho,11,131,1,1,10,74.91,2
2/5/2024,Consulta de Garantia,Distribuidor,Redes Sociales,EMP0011,Oficina Principal,Abierto,Muy Satisfecho,4,40,2,6,1,50.82,2
6/9/2024,Consulta de Garantia,Empresa,Chat en Linea,EMP0016,Sucursal B,En Progreso,Muy Insatisfecho,17,117,3,10,6,73.06,1
19/11/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0015,Sucursal A,Abierto,Insatisfecho,4,121,3,6,1,51.68,1
25/9/2024,Reclamacion de Envio,Distribuidor,Correo Electronico,EMP0006,Sucursal A,Pendiente,Muy Insatisfecho,5,100,0,8,1,70.82,2
11/5/2024,Soporte Tecnico,Individual,Redes Sociales,EMP0010,Sucursal A,Cerrado,Neutral,2,80,1,3,15,45.55,2
14/6/2024,Soporte Tecnico,Mayorista,Telefono,EMP0013,Oficina Principal,Pendiente,Muy Insatisfecho,18,132,3,3,9,43.90,1
21/10/2024,Reclamacion de Envio,Empresa,Chat en Linea,EMP0019,Sucursal A,Cerrado,Muy Satisfecho,17,86,2,5,1,45.07,1
25/2/2024,Problema de Producto,Distribuidor,Chat en Linea,EMP0017,Sucursal B,Abierto,Insatisfecho,6,11,4,4,12,62.45,0
20/7/2024,Problema de Producto,Distribuidor,Telefono,EMP0013,Sucursal B,Pendiente,Muy Satisfecho,1,52,2,5,2,86.72,0
25/8/2024,Informacion de Promociones,Individual,Redes Sociales,EMP0011,Oficina Principal,Cerrado,Muy Insatisfecho,20,72,3,10,6,50.12,2
1/6/2024,Consulta de Facturacion,Mayorista,Redes Sociales,EMP0010,Sucursal B,En Progreso,Insatisfecho,19,2,1,8,2,43.10,0
16/11/2024,Consulta de Garantia,Distribuidor,Correo Electronico,EMP0008,Sucursal B,En Progreso,Muy Satisfecho,5,48,4,9,5,58.26,0
24/9/2024,Consulta de Facturacion,Empresa,Formulario Web,EMP0004,Oficina en Linea,Pendiente,Insatisfecho,16,67,1,10,9,62.00,0
15/2/2024,Informacion de Promociones,Distribuidor,Correo Electronico,EMP0018,Sucursal B,Pendiente,Muy Satisfecho,12,24,3,7,4,61.19,1
7/2/2024,Informacion de Promociones,Mayorista,Telefono,EMP0007,Oficina en Linea,Abierto,Muy Insatisfecho,1,115,0,1,2,98.01,0
17/8/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0007,Oficina Principal,Pendiente,Muy Insatisfecho,15,129,1,4,15,45.82,1
30/7/2024,Consulta de Garantia,Mayorista,Formulario Web,EMP0012,Oficina Principal,Abierto,Muy Satisfecho,17,86,4,5,13,46.35,1
1/11/2024,Problema de Producto,Distribuidor,Formulario Web,EMP0009,Sucursal B,Abierto,Muy Satisfecho,5,105,1,2,2,57.88,2
1/7/2024,Reclamacion de Envio,Individual,Correo Electronico,EMP0003,Sucursal A,En Progreso,Muy Insatisfecho,17,133,1,7,6,77.40,1
31/8/2024,Consulta de Facturacion,Empresa,Redes Sociales,EMP0012,Oficina en Linea,Abierto,Muy Satisfecho,7,65,2,6,2,56.38,1
1/7/2024,Consulta de Facturacion,Individual,Telefono,EMP0016,Sucursal A,En Progreso,Neutral,17,45,0,10,7,62.87,1
26/3/2024,Solicitud de Devolucion,Mayorista,Redes Sociales,EMP0009,Sucursal A,En Progreso,Neutral,5,128,1,7,13,97.47,1
16/1/2024,Reclamacion de Envio,Empresa,Redes Sociales,EMP0001,Oficina en Linea,En Progreso,Neutral,5,19,0,7,12,66.02,1
19/4/2024,Consulta de Garantia,Mayorista,Redes Sociales,EMP0005,Oficina en Linea,En Progreso,Insatisfecho,5,7,1,2,13,90.41,2
